COD_DISTRIBUIDORA,COD_PROD_DISTRIBUIDOR,COD_PROD_MAESTRO,FECHA_REGISTRO,USUARIO
1000010295,259,3101031,16:22.3,Alicorp
1000008549,257,3101032,16:22.3,Alicorp
1000011384,533,3107045,15:30.8,Alicorp
1000011384,239,3107054,16:22.3,Alicorp
1000019448,249,3112014,16:22.3,Alicorp
1000012343,248,3126057,16:22.3,Alicorp
1000016707,532,3300074,15:30.8,Alicorp
30002600,534,3501019,15:30.8,Alicorp
1000002120,535,3501023,15:30.8,Alicorp
30003984,116,5101846,16:22.3,Alicorp
1000018352,168,5101850,16:22.3,Alicorp
1000008739,536,6701044,15:30.8,Alicorp
1000009363,373,8300093,16:22.3,Alicorp
1000028574,374,8300095,16:22.3,Alicorp
1000018847,402,8305322,15:30.8,Alicorp
1000016655,9,8400432,15:30.8,Alicorp
1000012434,15,8400496,16:22.3,Alicorp
1000010077,48,8400555,15:30.8,Alicorp
1000016707,20,8400576,16:22.3,Alicorp
1000018534,36,8404040,16:22.3,Alicorp
1000032177,301,8404071,16:22.3,Alicorp
1000024732,404,8404079,15:30.8,Alicorp
1000012434,35,8404087,16:22.3,Alicorp
1000018861,30,8404089,16:22.3,Alicorp
1000028794,52,8406192,15:30.8,Alicorp
1000009363,543,8406210,15:30.8,Alicorp
30003902,542,8406212,15:30.8,Alicorp
1000034830,371,8408037,16:22.3,Alicorp
1000028575,135,8600133,16:22.3,Alicorp
1000016655,140,8600140,16:22.3,Alicorp
1000007598,3644,11110,00:00.0,Alicorp
30007082,29794,11118,00:00.0,Alicorp
1000019381,526,18110,00:00.0,Alicorp
1000019463,2689,24716,00:00.0,Alicorp
1000028588,3971,26416,00:00.0,Alicorp
1000029697,842,3001008,00:00.0,Alicorp
1000028586,18193,3003007,31:58.1,Alicorp
1000009232,74,3003013,00:00.0,Alicorp
1000009584,29810,3006011,19:52.4,Alicorp
1000010295,29623,3006013,00:00.0,Alicorp
1000018861,35111,3007014,03:31.0,Alicorp
1000009584,18156,3007023,00:00.0,Alicorp
1000008721,18156,3007023,00:00.0,Alicorp
1000024723,26276,3020014,00:00.0,Alicorp
30003885,26256,3020015,00:00.0,Alicorp
1000018671,59,3101031,00:00.0,Alicorp
1000028129,63,3101032,00:00.0,Alicorp
1000035585,33043,3101034,00:00.0,Alicorp
1000028587,33547,3101136,00:00.0,Alicorp
1000028662,30501,3101139,00:00.0,Alicorp
1000009118,32161,3101702,00:00.0,Alicorp
30003885,56,3102103,00:00.0,Alicorp
1000012343,36,3103044,00:00.0,Alicorp
