COD_PROD,DESC_PROD,EAN_13,CATEGORIA_PROD,FAMILIA_PROD,MARCA_PROD,SEGMENTO_PROD,UND_X_CAJA,PESO_X_UND,PRESENTACION_PROD,ESTADO_PROD
0,No Definido,No Definido,No Definido,No Definido,No Definido,No Definido,0,0.0,No Definido,0.0
09836,SUAVISS FLORES SILVESTRES 1L. 6BOT,0.0,Suavizantes,Suaviss Clasico Flores Silvestres,Suaviss,Value,6,1.0,1L,0.0
11110,PASTA. ALIANZ ENTREF DELG #48 10K,7750243422475,Pastas,Alianza Clasico,Alianza,Core,1,10.0,10kg,0.0
11118,PASTA. ALIANZ ENTREF GRUE #50 10K,7750243422499,Pastas,Alianza Clasico,Alianza,Core,1,10.0,10kg,0.0
12258,PASTA. VICTORIA MACARRONES #46 10KG,7750243422567,Pastas,Victoria Clasico,Victoria,Value,1,10.0,10kg,0.0
13801,PASTA. ESPIGA DE ORO SPAGUE. 500G 20BOL,7750243023696,Pastas,Espiga de Oro Clasic,Espiga de Oro,Value,20,0.5,450g,O
13803,PASTA. ESPIGA DE ORO TALLAR 500G 20BOL,7750243023702,Pastas,Espiga de Oro Clasic,Espiga de Oro,Value,20,0.5,450g,O
13809,PASTA. ESPIGA DE ORO CANUT.CH 250G 20BOL,7750243023450,Pastas,Espiga de Oro Clasic,Espiga de Oro,Value,20,0.25,235g,O
13817,PASTA. ESPIGA DE ORO COD.RAY 250G 20BOL,7750243023870,Pastas,Espiga de Oro Clasic,Espiga de Oro,Value,20,0.25,225g,N
13821,PASTA. ESPIGA DE ORO TORNILL 250G 20BOL,7750243023887,Pastas,Espiga de Oro Clasic,Espiga de Oro,Value,20,0.25,225g,Z1
1408,ACEIT. CAPRI 500CC 48BLS,0.0,Aceites,Capri Domestico,Capri,Core,24,0.458,500mL,O
15160,PASTA. NICOLINI FETTUC. HUE 500GR 20BOL,7750243002769,Pastas,Nicolini Alhuevo,Nicolini,Core,20,0.5,500g,O
16104,PASTA. LAVAG SPAGUETTI 500GR 20BOL,0.0,Pastas,Lavaggi Clasico,Lavaggi,Core,20,0.5,450g,O
16136,PASTA. LAVAG TALLARIN 500GR 20BOL,0.0,Pastas,Lavaggi Clasico,Lavaggi,Core,20,0.5,500g,O
17211,HARIN. VICTORIA WAWA T. 25K,7750243005722,Harinas,Victoria Panadera,Victoria,AASS Panificación,1,25.0,25kg,0.0
17459,HARIN. BN INDUSTRIAL PP 50K,7750243050944,Harinas,IP Galletera,IP,AASS Industrias,1,50.0,50kg,0.0
17548,HARIN. NICOLINI INDUSTRIAL A GRANEL,7750243419161,Harinas,IP Panadera,IP,AASS Industrias,1,1.0,Granel,0.0
17571,HARIN. NICOLINI PULSO SUR T. 50K,7750243024723,Harinas,Nicolini Panadera,Nicolini,AASS Panificación,1,50.0,50kg,0.0
17630,HARIN. IND PARTNERS INTEGRAL PP 25K,7750243032780,Harinas,IP Integral,IP,AASS Industrias,1,25.0,25kg,0.0
