COD_DISTRIBUIDORA,COD_PRODUCTO,DESC_PRODUCTO,COD_EAN,NOM_PROVEEDOR,FACTOR_UNI_MIN,FACTOR_UNI_MAX
1000012329,115,GELATINA UMSHA 120GR 12UND,7750243073547,7750243073547,12,12
1000019371,116,GELATINA UMSHA FRESA 120G 24UND,7750243073523,7750243073523,24,24
1000019463,13,DETERGENTE BOLIVAR 2.4KG 6BOL,7750243068475,7750243068475,6,6
1000021615,135,JABON BOLIVAR FLORAL 190GR 48BBR,7750243068826,7750243068826,48,48
1000004006,140,JABON TROME LIMON 190GR 40BARR,7750243068673,7750243068673,40,40
1000024166,15,DETERGENTE BOLIVAR 330GR. 30BOL,7750243062374,7750243062374,30,30
1000028129,16,DETERGENTE BOLIVAR 4.2KG 4BOL,7750243068529,7750243068529,4,4
1000012434,168,MAZAMORRA MORADA UMSHA 125GR 24UND,7750243073561,7750243073561,24,24
1000028136,20,DETERGENTE BOLIVAR 750GR 15BOL,7750243067515,7750243067515,15,15
1000024731,239,ACEITE CIL 900ML 12BOT,7750243066242,7750243066242,12,12
1000012198,243,ACEITE COCINERO 900ML 12BOT,7750243068048,7750243068048,12,12
30001508,248,ACEITE MIRASOL 200ML 24BOT,7750243073189,7750243073189,24,24
1000018847,249,ACEITE MIRASOL 900ML 12BOT,7750243072113,7750243072113,12,12
1000012286,257,ACEITE PRIMOR CLASICO 900ML 12BOT,7750243068000,7750243068000,12,12
1000032177,258,ACEITE PRIMOR PREMIUM 1LT 12BOT,7750243000406,7750243000406,12,12
1000020099,259,ACEITE PRIMOR PREMIUN 900ML 12BOT,7750243067997,7750243067997,12,12
1000012343,30,DETERGENTE MARSELLA 140G X60B.PET.RELAJ,7750243068536,7750243068536,60,60
1000008739,301,DETERGENTE MARSELLA 4KG 4BOL,7750243054195,7750243054195,4,4
1000019371,34,DETERGENTE MARSELLA 2KG 7BOL,7750243054188,7750243054188,7,7
1000028587,35,DETERGENTE MARSELLA 330X30 BOL,7750243060943,7750243060943,30,30
1000012434,36,DETERGENTE MARSELLA 4.2K X 4B.PET. RELAJ.,7750243046275,7750243046275,4,4
1000034819,371,DET. TROME FLORAL 130GR 60BOL,7750243068604,7750243068604,60,60
1000018378,373,LEJIA SAPOLIO ORIGINAL 5KG 4UND,7751851027021,7751851027021,4,4
1000028794,374,LEJIA SAPOLIO ORIGINAL 790GR 15UND,7750243074087,7750243074087,15,15
1000028586,376,LAVAV. SAPOLIO LIMON 800G 6UND,7750243067898,7750243067898,6,6
1000024166,378,LIMPIATODO SAPOLIO 900ML 12UND,7751851000758,7751851000758,12,12
1000018310,38,DETERGENTE MARSELLA 450GR 24BOL,7750243067560,7750243067560,24,24
1000019463,402,LAVAV. SAPOLIO LIMON 200GR 24UND,7750243077712,7750243077712,24,24
30007082,404,DETERGENTE MARSELLA 280GR 35BOL,7750243059817,7750243059817,35,35
1000018974,41,DETERGENTE MARSELLA 750GR 15BOL,7750243067577,7750243067577,15,15
1000028859,42,DETERGENTE MARSELLA PROFESIONAL 13.5KG,7750243069052,7750243069052,1,1
1000020099,44,DETERGENTE OPAL 330X30 BOL,7750243061001,7750243061001,30,30
1000008730,46,DETERGENTE OPAL 450GR 24BOL,7750243069939,7750243069939,24,24
1000024730,48,DETERGENTE OPAL 750GR 15BOL,7750243069960,7750243069960,15,15
1000028760,52,DETERGENTE OPAL ULTRA 2.4KG 6BOL,7750243069076,7750243069076,6,6
1000008558,532,MAYONESA ALACENA 95GR 24UND,7750243046091,7750243046091,24,24
