COD_DISTRIBUIDORA,COD_VENTA,NUM_FACTURA,FECHA,COD_CLIENTE,COD_ITEM,COD_PRODUCTO,CANTIDAD_UND_MIN,TIPO_UND_MIN,CANT_UND_MAX,TIPO_UND_MAX,VENTA_SINIGV,VENTA_CONIGV,TIPO_PRODUCTO,COD_VENDEDOR
1000001852,6952,BB001-4,28/11/2022,00000137,1,003B37,30,BOL,1,BOL,91.53,108,P,0050
1000001852,1024,BB001-7,6/12/2022,00000137,1,004F57,1,SAC,1,SAC,72.03,85,P,0050
1000001852,5943,BB010-100,22/02/2023,00000137,1,05BA7039,12,CAJ,1,CAJ,110.17,130,P,0050
1000001852,382,BB010-1002,2/06/2023,00000137,1,10018204,40,Unidades,2,Unidades,35.59,42,P,0050
1000001852,382,BB010-1002,2/06/2023,00000137,2,1002007,20,PAQ,1,PAQ,35.59,42,P,0050
1000001852,386,BB010-1003,2/06/2023,00000137,1,10037009,48,CAJ,4,CAJ,413.56,488,P,0050
1000001852,396,BB010-1004,2/06/2023,00000137,1,100402,40,Unidades,2,Unidades,35.59,42,P,0050
1000001852,453,BB010-1006,3/06/2023,00000137,1,10050877,80,Unidades,4,Unidades,71.19,84,P,0050
1000001852,467,BB010-1007,3/06/2023,00000137,1,10050883,200,PAQ,10,PAQ,355.93,420,P,0050
1000001852,468,BB010-1008,3/06/2023,00000137,1,10059075,200,PAQ,10,PAQ,355.93,420,P,0050
1000001852,5960,BB010-101,22/02/2023,00000137,1,10063267,120,PAQ,6,PAQ,218.64,258,P,0050
1000001852,486,BB010-1011,3/06/2023,00000137,1,1008023,200,PAQ,10,PAQ,355.93,420,P,0050
1000001852,486,BB010-1012,3/06/2023,00000137,2,10100469,600,Unidades,30,Unidades,533.9,630,P,0050
1000001852,499,BB010-1013,3/06/2023,00000137,1,101108,20,PAQ,1,PAQ,35.59,42,P,0050
1000001852,507,BB010-1015,3/06/2023,00000137,1,102,120,Unidades,6,Unidades,106.78,126,P,0050
1000001852,507,BB010-1015,3/06/2023,00000137,2,102120,60,PAQ,3,PAQ,106.78,126,P,0050
1000001852,522,BB010-1016,3/06/2023,00000137,1,1052,30,BOL,1,BOL,91.53,108,P,0050
1000001852,522,BB010-1016,3/06/2023,00000137,2,10535,15,BOL,1,BOL,94.92,112,P,0050
1000001852,523,BB010-1017,3/06/2023,00000137,1,10536,120,Unidades,6,Unidades,106.78,126,P,0050
1000001852,529,BB010-1018,3/06/2023,00000137,2,1059,20,PAQ,1,PAQ,35.59,42,P,0050
1000001852,535,BB010-1019,3/06/2023,00000137,1,1100,12,CAJ,1,CAJ,86.44,102,P,0050
1000001852,5967,BB010-102,22/02/2023,00000137,1,11100333,1,SAC,1,SAC,72.03,85,P,0050
1000001852,584,BB010-1020,3/06/2023,00000137,1,111100,20,PAQ,1,PAQ,35.59,42,P,0050
1000001852,690,BB010-1022,5/06/2023,00000137,1,112004,40,PAQ,2,PAQ,71.19,84,P,0050
1000001852,690,BB010-1022,5/06/2023,00000137,2,11287,80,Unidades,4,Unidades,71.19,84,P,0050
1000001852,693,BB010-1023,5/06/2023,00000137,1,11500446,20,Unidades,1,Unidades,17.8,21,P,0050
1000001852,694,BB010-1024,5/06/2023,00000137,1,116225,40,PAQ,2,PAQ,71.19,84,P,0050
1000001852,774,BB010-1029,5/06/2023,00000137,1,116238,40,Unidades,2,Unidades,35.59,42,P,0050
1000001852,5963,BB010-103,22/02/2023,00000137,1,1163,8,SAC,8,SAC,576.27,680,P,0050
1000001852,835,BB010-1030,6/06/2023,00000137,1,116332,60,PAQ,3,PAQ,106.78,126,P,0050
1000001852,904,BB010-1031,6/06/2023,00000137,1,116347,12,CAJ,1,CAJ,103.39,122,P,0050
1000001852,1021,BB010-1032,7/06/2023,00000137,1,116391,12,CAJ,1,CAJ,103.39,122,P,0050
1000001852,1022,BB010-1033,7/06/2023,00000137,1,116393,80,PAQ,4,PAQ,142.37,168,P,0050
1000001852,1024,BB010-1034,7/06/2023,00000137,1,116410,60,PAQ,3,PAQ,106.78,126,P,0050
1000001852,1027,BB010-1035,7/06/2023,00000137,1,116433,12,CAJ,1,CAJ,103.39,122,P,0050
1000001852,1027,BB010-1035,7/06/2023,00000137,2,1189,12,CAJ,1,CAJ,86.44,102,P,0050
1000001852,1075,BB010-1036,7/06/2023,00000137,1,120010004,200,PAQ,10,PAQ,355.93,420,P,0050
